originalWord,translation,description,wordType,article,preposition,kasus,reflexive
überzeugen,убеждать,jemanden zum Glauben bringen,Verb,,von,Dativ,FALSE
steinreich,очень богатый,extrem wohlhabend,Adjektiv,,,,
hören,слышать,Geräusche mit den Ohren wahrnehmen,Verb,,von,Dativ,FALSE
losreißen,вырваться,von etwas befreien,Verb,,von,Dativ,TRUE
profitieren,получать выгоду,Nutzen aus etwas ziehen,Verb,,von,Dativ,FALSE
reden,говорить,sprechen oder unterhalten,Verb,,von,Dativ,FALSE
schwärmen,восхищаться,begeistert von etwas sprechen,Verb,,von,Dativ,FALSE
sprechen,говорить,Worte äußern oder unterhalten,Verb,,von,Dativ,FALSE
träumen,мечтать,im Schlaf Bilder sehen oder etwas wünschen,Verb,,von,Dativ,FALSE
trennen,расставаться,eine Verbindung beenden,Verb,,von,Dativ,TRUE
unterscheiden,отличаться,anders sein als etwas anderes,Verb,,von,Dativ,TRUE
verabschieden,прощаться,Abschied nehmen,Verb,,von,Dativ,TRUE
wissen,знать,Kenntnis über etwas haben,Verb,,von,Dativ,FALSE
zurückziehen,отступать,entfernen oder isolieren,Verb,,von,Dativ,TRUE
ekeln,испытывать отвращение,Widerwillen empfinden,Verb,,vor,Dativ,TRUE
flüchten,бежать,schnell weglaufen aus Angst,Verb,,vor,Dativ,FALSE
fürchten,бояться,Angst haben vor etwas,Verb,,vor,Dativ,TRUE
rechtfertigen,оправдываться,Handlungen erklären,Verb,,vor,Dativ,TRUE
schützen,защищать,vor Schaden bewahren,Verb,,vor,Dativ,FALSE
warnen,предупреждать,vor Gefahr informieren,Verb,,vor,Dativ,FALSE
aufraffen,собраться с силами,Energie für etwas aufbringen,Verb,,zu,Dativ,TRUE
beitragen,способствовать,einen Teil zu etwas beisteuern,Verb,,zu,Dativ,FALSE
drängen,торопить,unter Druck setzen,Verb,,zu,Dativ,FALSE
einladen,приглашать,jemanden bitten zu kommen,Verb,,zu,Dativ,FALSE
entwickeln,развиваться,Fortschritte machen oder wachsen,Verb,,zu,Dativ,TRUE
führen,вести,leiten oder den Weg zeigen,Verb,,zu,Dativ,FALSE
gehören,принадлежать,Eigentum von jemandem sein,Verb,,zu,Dativ,FALSE
gratulieren,поздравлять,Glückwünsche aussprechen,Verb,,zu,Dativ,FALSE
kommen,приходить,an einen Ort bewegen,Verb,,zu,Dativ,FALSE
meinen,иметь в виду,eine Meinung äußern,Verb,,zu,Dativ,FALSE
passen,подходить,die richtige Größe oder Form haben,Verb,,zu,Dativ,FALSE
wählen,выбирать,eine Entscheidung treffen,Verb,,zu,Dativ,FALSE
telefonieren,звонить,ein Telefongespräch führen,Verb,,mit,Dativ,FALSE
treffen,встречаться,zusammenkommen mit jemandem,Verb,,mit,Dativ,TRUE
verbinden,соединять,zwei Dinge zusammenfügen,Verb,,mit,Dativ,FALSE
vergleichen,сравнивать,Unterschiede und Gemeinsamkeiten feststellen,Verb,,mit,Dativ,FALSE
verstehen,понимать друг друга,gut miteinander auskommen,Verb,,mit,Dativ,TRUE
zusammenarbeiten,сотрудничать,gemeinsam an etwas arbeiten,Verb,,mit,Dativ,FALSE
fragen,спрашивать,eine Frage stellen,Verb,,nach,Dativ,FALSE
riechen,пахнуть,einen Geruch wahrnehmen,Verb,,nach,Dativ,FALSE
rufen,звать,laut den Namen sagen,Verb,,nach,Dativ,FALSE
schmecken,иметь вкус,einen bestimmten Geschmack haben,Verb,,nach,Dativ,FALSE
sehen,видеть,mit den Augen wahrnehmen,Verb,,nach,Dativ,FALSE
ärgern,злиться,verärgert oder wütend sein,Verb,,über,Akkusativ,TRUE
austauschen,обмениваться,Informationen oder Meinungen teilen,Verb,,über,Akkusativ,TRUE
beklagen,жаловаться,Unzufriedenheit äußern,Verb,,über,Akkusativ,TRUE
belehren,поучать,jemandem etwas beibringen,Verb,,über,Akkusativ,FALSE
beraten,консультировать,Rat oder Hilfe geben,Verb,,über,Akkusativ,FALSE
berichten,сообщать,Informationen weitergeben,Verb,,über,Akkusativ,FALSE
beschweren,жаловаться,Kritik oder Unmut äußern,Verb,,über,Akkusativ,TRUE
brüten,высиживать,lange über etwas nachdenken,Verb,,über,Dativ,FALSE
diskutieren,обсуждать,verschiedene Meinungen austauschen,Verb,,über,Akkusativ,FALSE
freuen,радоваться,Freude empfinden,Verb,,über,Akkusativ,TRUE
hinauskommen,выходить за пределы,mehr erreichen als erwartet,Verb,,über,Akkusativ,FALSE
informieren,информироваться,Wissen über etwas sammeln,Verb,,über,Akkusativ,TRUE
lächeln,улыбаться,ein freundliches Gesicht machen,Verb,,über,Akkusativ,FALSE
lachen,смеяться,Freude durch Geräusche ausdrücken,Verb,,über,Akkusativ,FALSE
nachdenken,размышлять,tief über etwas reflektieren,Verb,,über,Akkusativ,FALSE
reden,говорить,sprechen oder diskutieren,Verb,,über,Akkusativ,FALSE
referieren,докладывать,einen Vortrag über etwas halten,Verb,,über,Akkusativ,FALSE
schimpfen,ругаться,ärgerlich oder wütend sprechen,Verb,,über,Akkusativ,FALSE
sprechen,говорить,Worte äußern,Verb,,über,Akkusativ,FALSE
streiten,спорить,einen Konflikt haben,Verb,,über,Akkusativ,TRUE
verfügen,располагать,etwas zur Verfügung haben,Verb,,über,Akkusativ,FALSE
wundern,удивляться,überrascht sein,Verb,,über,Akkusativ,TRUE
bemühen,стараться,anstrengen etwas zu erreichen,Verb,,um,Akkusativ,TRUE
bewerben,подавать заявление,für eine Stelle bewerben,Verb,,um,Akkusativ,TRUE
bitten,просить,höflich um etwas fragen,Verb,,um,Akkusativ,FALSE
gehen,идти,zu Fuß fortbewegen,Verb,,um,Akkusativ,FALSE
handeln,торговать,Geschäfte machen,Verb,,um,Akkusativ,FALSE
konkurrieren,конкурировать,im Wettbewerb stehen,Verb,,um,Akkusativ,FALSE
kümmern,заботиться,um jemanden sorgen,Verb,,um,Akkusativ,TRUE
leiden,страдать,Schmerz oder Kummer empfinden,Verb,,unter,Dativ,FALSE
abweichen,отклоняться,von etwas entfernen,Verb,,von,Dativ,FALSE
berichten,сообщать,Informationen mitteilen,Verb,,von,Dativ,FALSE
entfernen,удаляться,von einem Ort wegbewegen,Verb,,von,Dativ,TRUE
erholen,восстанавливаться,wieder Kraft gewinnen,Verb,,von,Dativ,TRUE
erstrecken,простираться,über eine Fläche ausdehnen,Verb,,von,Dativ,TRUE
erzählen,рассказывать,eine Geschichte wiedergeben,Verb,,von,Dativ,FALSE
halten,держать,in der Hand behalten,Verb,,von,Dativ,FALSE
handeln,действовать,etwas tun oder Geschäfte machen,Verb,,von,Dativ,FALSE
engagieren,заниматься,aktiv beteiligen,Verb,,für,Akkusativ,TRUE
entscheiden,решаться,eine Wahl treffen,Verb,,für,Akkusativ,TRUE
entschuldigen,извиняться,um Verzeihung bitten,Verb,,für,Akkusativ,TRUE
erwärmen,согревать,warm machen,Verb,,für,Akkusativ,FALSE
halten,держать,unterstützen oder für richtig befinden,Verb,,für,Akkusativ,FALSE
interessieren,интересоваться,Neugier für etwas haben,Verb,,für,Akkusativ,TRUE
kämpfen,бороться,anstrengen etwas zu erreichen,Verb,,für,Akkusativ,FALSE
plädieren,выступать за,für etwas einsetzen,Verb,,für,Akkusativ,FALSE
sorgen,заботиться,um etwas kümmern,Verb,,für,Akkusativ,FALSE
stimmen,голосовать,seine Stimme abgeben,Verb,,für,Akkusativ,FALSE
tun,делать,eine Handlung ausführen,Verb,,für,Akkusativ,FALSE
votieren,голосовать,seine Stimme für etwas abgeben,Verb,,für,Akkusativ,FALSE
durchsetzen,добиваться успеха,Ziele erreichen,Verb,,gegen,Akkusativ,TRUE
